stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic
65,770000000,global,17,3,14,obstacle,"('robot_0', 'cylinder1::link::collision')",robot_0,cylinder1::link::collision,-0.458118,-2.753569,0.147662,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
65,890000000,global,18,4,14,robot,"('robot_2', 'robot_4')",robot_2,robot_4,0.854245,-4.575643,0.147685,/world/random_world/model/robot_2/link/robot_2/base_footprint/sensor/contact_sensor/contact
68,960000000,global,19,4,15,obstacle,"('robot_3', 'box4::link::collision')",robot_3,box4::link::collision,-2.953360,-3.472617,0.148683,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
71,890000000,global,20,4,16,obstacle,"('robot_0', 'cylinder1::link::collision')",robot_0,cylinder1::link::collision,-0.381035,-2.636625,0.147992,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
74,80000000,global,21,4,17,obstacle,"('robot_3', 'box4::link::collision')",robot_3,box4::link::collision,-2.821611,-3.513513,0.147824,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
75,880000000,global,22,4,18,obstacle,"('robot_0', 'cylinder1::link::collision')",robot_0,cylinder1::link::collision,-0.469335,-2.766445,0.208775,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
78,140000000,global,23,4,19,obstacle,"('robot_0', 'cylinder1::link::collision')",robot_0,cylinder1::link::collision,-0.461986,-2.758094,0.147659,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
79,400000000,global,24,4,20,obstacle,"('robot_3', 'box4::link::collision')",robot_3,box4::link::collision,-2.821253,-3.513408,0.147826,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
80,650000000,global,25,4,21,obstacle,"('robot_3', 'box4::link::collision')",robot_3,box4::link::collision,-2.821259,-3.513408,0.272826,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
82,20000000,global,26,4,22,obstacle,"('robot_0', 'cylinder1::link::collision')",robot_0,cylinder1::link::collision,-0.370988,-2.615479,0.147997,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
84,220000000,global,27,4,23,obstacle,"('robot_3', 'box4::link::collision')",robot_3,box4::link::collision,-2.822910,-3.517532,0.147818,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
86,40000000,global,28,4,24,obstacle,"('robot_0', 'cylinder1::link::collision')",robot_0,cylinder1::link::collision,-0.479287,-2.777264,0.147825,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
89,190000000,global,29,4,25,obstacle,"('robot_3', 'box4::link::collision')",robot_3,box4::link::collision,-2.821253,-3.513408,0.147840,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
90,790000000,global,30,4,26,obstacle,"('robot_3', 'box4::link::collision')",robot_3,box4::link::collision,-2.859925,-3.626234,0.147837,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
91,780000000,global,31,4,27,obstacle,"('robot_0', 'cylinder1::link::collision')",robot_0,cylinder1::link::collision,-0.388773,-2.651573,0.147834,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
93,880000000,global,32,4,28,obstacle,"('robot_3', 'box4::link::collision')",robot_3,box4::link::collision,-2.823291,-3.517915,0.147845,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
96,40000000,global,33,4,29,obstacle,"('robot_0', 'cylinder1::link::collision')",robot_0,cylinder1::link::collision,-0.496314,-2.794586,0.147825,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact
99,310000000,global,34,4,30,obstacle,"('robot_3', 'box4::link::collision')",robot_3,box4::link::collision,-2.821253,-3.513408,0.147815,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact
