category,prompt,run,scenario,trial,run_folder,coverage_pct,collisions_total,coverage_csv,bump_csv
long,prompt_3,run_3,middle_circle,trial_3,run_20260417_191205,54.0,44,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_3/run_3/middle_circle/trial_3/run_20260417_191205/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_3/run_3/middle_circle/trial_3/run_20260417_191205/bumps_global_191205.csv
long,prompt_4,run_1,middle_circle,trial_1,run_20260417_192544,58.0,19,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_4/run_1/middle_circle/trial_1/run_20260417_192544/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_4/run_1/middle_circle/trial_1/run_20260417_192544/bumps_global_192544.csv
long,prompt_4,run_1,middle_circle,trial_2,run_20260417_192909,63.0,19,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_4/run_1/middle_circle/trial_2/run_20260417_192909/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_4/run_1/middle_circle/trial_2/run_20260417_192909/bumps_global_192909.csv
long,prompt_4,run_1,middle_circle,trial_3,run_20260417_193233,50.0,19,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_4/run_1/middle_circle/trial_3/run_20260417_193233/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_4/run_1/middle_circle/trial_3/run_20260417_193233/bumps_global_193234.csv
long,prompt_4,run_3,middle_circle,trial_1,run_20260417_194613,11.0,3,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_4/run_3/middle_circle/trial_1/run_20260417_194613/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_4/run_3/middle_circle/trial_1/run_20260417_194613/bumps_global_194613.csv
long,prompt_4,run_3,middle_circle,trial_2,run_20260417_194937,11.0,3,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_4/run_3/middle_circle/trial_2/run_20260417_194937/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_4/run_3/middle_circle/trial_2/run_20260417_194937/bumps_global_194938.csv
long,prompt_4,run_3,middle_circle,trial_3,run_20260417_195302,12.0,3,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_4/run_3/middle_circle/trial_3/run_20260417_195302/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_4/run_3/middle_circle/trial_3/run_20260417_195302/bumps_global_195303.csv
long,prompt_5,run_1,middle_circle,trial_1,run_20260417_200641,12.0,3,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_5/run_1/middle_circle/trial_1/run_20260417_200641/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_5/run_1/middle_circle/trial_1/run_20260417_200641/bumps_global_200642.csv
long,prompt_5,run_1,middle_circle,trial_2,run_20260417_201006,11.0,3,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_5/run_1/middle_circle/trial_2/run_20260417_201006/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_5/run_1/middle_circle/trial_2/run_20260417_201006/bumps_global_201007.csv
long,prompt_5,run_1,middle_circle,trial_3,run_20260417_201331,11.0,0,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_5/run_1/middle_circle/trial_3/run_20260417_201331/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/long/prompt_5/run_1/middle_circle/trial_3/run_20260417_201331/bumps_global_201332.csv
