model,controller_set,prompt,run,trial,sim_run,coverage_pct,final_coverage_pct,last_time_s,collisions_total,coverage_source,coverage_rows,pareto_optimal,sim_dir,coverage_timeseries_csv,coverage_visited_cells_csv,bump_csv
gpt-4.1,prompt_1_run_2,prompt_1,run_2,trial_21,run_20260429_164944,29.000,29.000,300.129,4,coverage_timeseries,601,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_21/run_20260429_164944,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_21/run_20260429_164944/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_21/run_20260429_164944/coverage_visited_cells.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_21/run_20260429_164944/bumps_global_164944.csv
gpt-4.1,prompt_1_run_2,prompt_1,run_2,trial_22,run_20260429_165446,42.000,42.000,300.191,37,coverage_timeseries,601,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_22/run_20260429_165446,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_22/run_20260429_165446/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_22/run_20260429_165446/coverage_visited_cells.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_22/run_20260429_165446/bumps_global_165447.csv
gpt-4.1,prompt_1_run_2,prompt_1,run_2,trial_23,run_20260429_165949,50.000,50.000,300.203,12,coverage_timeseries,601,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_23/run_20260429_165949,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_23/run_20260429_165949/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_23/run_20260429_165949/coverage_visited_cells.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_23/run_20260429_165949/bumps_global_165949.csv
gpt-4.1,prompt_1_run_2,prompt_1,run_2,trial_24,run_20260429_170451,46.000,46.000,300.121,15,coverage_timeseries,601,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_24/run_20260429_170451,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_24/run_20260429_170451/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_24/run_20260429_170451/coverage_visited_cells.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_24/run_20260429_170451/bumps_global_170452.csv
gpt-4.1,prompt_1_run_2,prompt_1,run_2,trial_25,run_20260429_170954,36.000,36.000,300.149,2,coverage_timeseries,601,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_25/run_20260429_170954,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_25/run_20260429_170954/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_25/run_20260429_170954/coverage_visited_cells.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_25/run_20260429_170954/bumps_global_170954.csv
gpt-4.1,prompt_1_run_2,prompt_1,run_2,trial_26,run_20260429_171456,55.000,55.000,300.131,31,coverage_timeseries,601,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_26/run_20260429_171456,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_26/run_20260429_171456/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_26/run_20260429_171456/coverage_visited_cells.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_26/run_20260429_171456/bumps_global_171457.csv
gpt-4.1,prompt_1_run_2,prompt_1,run_2,trial_27,run_20260429_171959,44.000,44.000,300.172,10,coverage_timeseries,601,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_27/run_20260429_171959,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_27/run_20260429_171959/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_27/run_20260429_171959/coverage_visited_cells.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_27/run_20260429_171959/bumps_global_171959.csv
gpt-4.1,prompt_1_run_2,prompt_1,run_2,trial_28,run_20260429_172501,24.000,24.000,300.266,3,coverage_timeseries,601,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_28/run_20260429_172501,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_28/run_20260429_172501/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_28/run_20260429_172501/coverage_visited_cells.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_28/run_20260429_172501/bumps_global_172501.csv
gpt-4.1,prompt_1_run_2,prompt_1,run_2,trial_29,run_20260429_173003,54.000,54.000,300.211,26,coverage_timeseries,601,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_29/run_20260429_173003,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_29/run_20260429_173003/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_29/run_20260429_173003/coverage_visited_cells.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_29/run_20260429_173003/bumps_global_173004.csv
gpt-4.1,prompt_1_run_2,prompt_1,run_2,trial_30,run_20260429_173506,42.000,42.000,300.212,17,coverage_timeseries,601,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_30/run_20260429_173506,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_30/run_20260429_173506/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_30/run_20260429_173506/coverage_visited_cells.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/random_safe_selected_controllers/gpt-4.1/prompt_1_run_2/trial_30/run_20260429_173506/bumps_global_173506.csv
