controller,prompt,run,trial,sim_run,coverage_pct,collisions_total,pareto_optimal,sim_dir,coverage_csv,bump_csv
gpt-5.4 prompt_1 run_5,prompt_1,run_5,trial_21,run_20260429_023442,49.0,25,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_21/run_20260429_023442,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_21/run_20260429_023442/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_21/run_20260429_023442/bumps_global_023443.csv
gpt-5.4 prompt_1 run_5,prompt_1,run_5,trial_22,run_20260429_023946,54.0,36,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_22/run_20260429_023946,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_22/run_20260429_023946/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_22/run_20260429_023946/bumps_global_023946.csv
gpt-5.4 prompt_1 run_5,prompt_1,run_5,trial_23,run_20260429_024449,60.0,7,True,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_23/run_20260429_024449,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_23/run_20260429_024449/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_23/run_20260429_024449/bumps_global_024450.csv
gpt-5.4 prompt_1 run_5,prompt_1,run_5,trial_24,run_20260429_024953,65.0,51,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_24/run_20260429_024953,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_24/run_20260429_024953/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_24/run_20260429_024953/bumps_global_024953.csv
gpt-5.4 prompt_1 run_5,prompt_1,run_5,trial_25,run_20260429_025457,58.0,27,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_25/run_20260429_025457,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_25/run_20260429_025457/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_25/run_20260429_025457/bumps_global_025457.csv
gpt-5.4 prompt_1 run_5,prompt_1,run_5,trial_26,run_20260429_030000,59.0,18,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_26/run_20260429_030000,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_26/run_20260429_030000/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_26/run_20260429_030000/bumps_global_030000.csv
gpt-5.4 prompt_1 run_5,prompt_1,run_5,trial_27,run_20260429_030504,61.0,23,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_27/run_20260429_030504,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_27/run_20260429_030504/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_27/run_20260429_030504/bumps_global_030504.csv
gpt-5.4 prompt_1 run_5,prompt_1,run_5,trial_28,run_20260429_031007,59.0,25,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_28/run_20260429_031007,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_28/run_20260429_031007/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_28/run_20260429_031007/bumps_global_031008.csv
gpt-5.4 prompt_1 run_5,prompt_1,run_5,trial_29,run_20260429_031511,64.0,31,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_29/run_20260429_031511,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_29/run_20260429_031511/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_29/run_20260429_031511/bumps_global_031511.csv
gpt-5.4 prompt_1 run_5,prompt_1,run_5,trial_30,run_20260429_032014,58.0,28,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_30/run_20260429_032014,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_30/run_20260429_032014/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_1/run_5/trial_30/run_20260429_032014/bumps_global_032015.csv
