wall_time,source,target,decision,skip_reason,warning_zone,distance_m,confidence,raw_detection,raw_message
1783680717.887351,robot_3,robot_4,skipped,distance_above_warning_threshold,CORNER,1.000276,,global_pose,"bearing_deg=-42.454,zone_reason=front_sector"
1783680717.987388,robot_3,robot_4,sent,,CORNER,0.999311,,global_pose,"bearing_deg=-46.720,zone_reason=front_sector"
1783680718.087431,robot_3,robot_4,sent,,RIGHT,0.998885,,global_pose,"bearing_deg=-51.003,zone_reason=side_sector"
1783680718.187437,robot_3,robot_4,sent,,RIGHT,0.996784,,global_pose,"bearing_deg=-54.713,zone_reason=side_sector"
1783680718.287413,robot_3,robot_4,sent,,RIGHT,0.999031,,global_pose,"bearing_deg=-58.746,zone_reason=side_sector"
1783680718.387257,robot_3,robot_4,skipped,distance_above_warning_threshold,RIGHT,1.000408,,global_pose,"bearing_deg=-63.069,zone_reason=side_sector"
1783680718.487250,robot_3,robot_4,skipped,distance_above_warning_threshold,RIGHT,1.002792,,global_pose,"bearing_deg=-67.388,zone_reason=side_sector"
1783680718.587335,robot_3,robot_4,skipped,distance_above_warning_threshold,RIGHT,1.006372,,global_pose,"bearing_deg=-71.694,zone_reason=side_sector"
1783680718.687337,robot_3,robot_4,skipped,distance_above_warning_threshold,RIGHT,1.011911,,global_pose,"bearing_deg=-75.876,zone_reason=side_sector"
1783680718.787259,robot_3,robot_4,skipped,distance_above_warning_threshold,RIGHT,1.018956,,global_pose,"bearing_deg=-79.943,zone_reason=side_sector"
1783680718.887273,robot_3,robot_4,skipped,distance_above_warning_threshold,RIGHT,1.025921,,global_pose,"bearing_deg=-84.177,zone_reason=side_sector"
1783680718.987348,robot_3,robot_4,skipped,distance_above_warning_threshold,RIGHT,1.036352,,global_pose,"bearing_deg=-88.590,zone_reason=side_sector"
1783680719.087383,robot_3,robot_4,skipped,distance_above_warning_threshold,RIGHT,1.047802,,global_pose,"bearing_deg=-92.059,zone_reason=side_sector"
1783680719.187297,robot_3,robot_4,skipped,distance_above_warning_threshold,RIGHT,1.052615,,global_pose,"bearing_deg=-94.054,zone_reason=side_sector"
1783680719.287329,robot_3,robot_4,skipped,distance_above_warning_threshold,RIGHT,1.063393,,global_pose,"bearing_deg=-95.975,zone_reason=side_sector"
