frame_index,time_s,robot,x,y
170,5.667,robot_2,0.1791,0.3304
172,5.733,robot_0,0.1872,1.7179
172,5.733,robot_1,1.8199,0.8692
172,5.733,robot_2,0.1791,0.3304
174,5.800,robot_0,0.1872,1.7179
174,5.800,robot_1,1.7947,0.8705
174,5.800,robot_2,0.1791,0.3304
176,5.867,robot_0,0.1872,1.7179
176,5.867,robot_1,1.7829,0.8653
176,5.867,robot_2,0.1791,0.3304
178,5.933,robot_0,0.1872,1.7179
178,5.933,robot_1,1.7457,0.8664
178,5.933,robot_2,0.1791,0.3304
180,6.000,robot_0,0.1872,1.7179
180,6.000,robot_1,1.7219,0.8612
180,6.000,robot_2,0.1791,0.3304
182,6.067,robot_0,0.1872,1.7179
182,6.067,robot_1,1.6978,0.8618
182,6.067,robot_2,0.1791,0.3304
184,6.133,robot_0,0.1872,1.7179
184,6.133,robot_1,1.6719,0.8612
184,6.133,robot_2,0.1791,0.3304
186,6.200,robot_0,0.1872,1.7179
186,6.200,robot_1,1.6457,0.8624
186,6.200,robot_2,0.1791,0.3304
188,6.267,robot_0,0.1872,1.7179
188,6.267,robot_1,1.6339,0.8572
188,6.267,robot_2,0.1791,0.3304
190,6.333,robot_0,0.1872,1.7179
190,6.333,robot_1,1.5967,0.8585
190,6.333,robot_2,0.1791,0.3304
192,6.400,robot_0,0.1872,1.7179
192,6.400,robot_1,1.5718,0.8558
192,6.400,robot_2,0.1791,0.3304
194,6.467,robot_0,0.1872,1.7179
194,6.467,robot_1,1.5457,0.8544
194,6.467,robot_2,0.1791,0.3304
196,6.533,robot_0,0.1872,1.7179
196,6.533,robot_1,1.5217,0.8544
196,6.533,robot_2,0.1791,0.3304
198,6.600,robot_0,0.1872,1.7179
198,6.600,robot_1,1.4968,0.8519
198,6.600,robot_2,0.1791,0.3304
200,6.667,robot_0,0.1872,1.7179
200,6.667,robot_1,1.4849,0.8491
200,6.667,robot_2,0.1791,0.3304
202,6.733,robot_0,0.1872,1.7179
202,6.733,robot_1,1.4467,0.8502
202,6.733,robot_2,0.1791,0.3304
204,6.800,robot_0,0.1872,1.7179
204,6.800,robot_1,1.4227,0.8502
204,6.800,robot_2,0.1791,0.3304
206,6.867,robot_0,0.1872,1.7179
206,6.867,robot_1,1.4109,0.8477
206,6.867,robot_2,0.1791,0.3304
208,6.933,robot_0,0.1872,1.7179
208,6.933,robot_1,1.3717,0.8464
208,6.933,robot_2,0.1791,0.3304
210,7.000,robot_0,0.1872,1.7179
210,7.000,robot_1,1.3479,0.8436
210,7.000,robot_2,0.1791,0.3304
212,7.067,robot_0,0.1872,1.7179
212,7.067,robot_1,1.3337,0.8424
212,7.067,robot_2,0.1791,0.3304
214,7.133,robot_0,0.1872,1.7179
214,7.133,robot_1,1.2969,0.8397
214,7.133,robot_2,0.1791,0.3304
216,7.200,robot_0,0.1872,1.7179
216,7.200,robot_1,1.2707,0.8422
216,7.200,robot_2,0.1791,0.3304
218,7.267,robot_0,0.1872,1.7179
218,7.267,robot_1,1.2599,0.8396
218,7.267,robot_2,0.1791,0.3304
220,7.333,robot_0,0.1872,1.7179
220,7.333,robot_1,1.2389,0.8375
220,7.333,robot_2,0.1791,0.3304
222,7.400,robot_0,0.1872,1.7179
222,7.400,robot_1,1.2309,0.8375
222,7.400,robot_2,0.1791,0.3304
224,7.467,robot_0,0.1872,1.7179
224,7.467,robot_1,1.2309,0.8375
224,7.467,robot_2,0.1791,0.3304
226,7.533,robot_0,0.1872,1.7179
226,7.533,robot_1,1.2269,0.8375
226,7.533,robot_2,0.1791,0.3304
228,7.600,robot_0,0.1872,1.7179
228,7.600,robot_1,1.2269,0.8375
228,7.600,robot_2,0.1791,0.3304
230,7.667,robot_0,0.1872,1.7179
230,7.667,robot_1,1.2269,0.8375
230,7.667,robot_2,0.1791,0.3304
232,7.733,robot_0,0.1872,1.7179
232,7.733,robot_1,1.2269,0.8375
232,7.733,robot_2,0.1791,0.3304
234,7.800,robot_0,0.1872,1.7179
234,7.800,robot_1,1.2269,0.8375
234,7.800,robot_2,0.1791,0.3304
236,7.867,robot_0,0.1872,1.7179
236,7.867,robot_1,1.2258,0.8379
236,7.867,robot_2,0.1791,0.3304
238,7.933,robot_0,0.1872,1.7179
238,7.933,robot_1,1.2234,0.8431
238,7.933,robot_2,0.1791,0.3304
240,8.000,robot_0,0.1872,1.7179
240,8.000,robot_1,1.2238,0.8463
240,8.000,robot_2,0.1791,0.3304
242,8.067,robot_0,0.1872,1.7179
242,8.067,robot_1,1.2229,0.8460
242,8.067,robot_2,0.1791,0.3304
244,8.133,robot_0,0.1872,1.7179
244,8.133,robot_1,1.2218,0.8458
244,8.133,robot_2,0.1805,0.3297
246,8.200,robot_0,0.1872,1.7179
246,8.200,robot_1,1.2220,0.8450
246,8.200,robot_2,0.1805,0.3297
248,8.267,robot_0,0.1872,1.7179
248,8.267,robot_1,1.2203,0.8453
248,8.267,robot_2,0.1805,0.3297
250,8.333,robot_0,0.1872,1.7179
250,8.333,robot_1,1.2175,0.8516
250,8.333,robot_2,0.1805,0.3297
252,8.400,robot_0,0.1872,1.7179
252,8.400,robot_1,1.2152,0.8533
252,8.400,robot_2,0.1805,0.3297
254,8.467,robot_0,0.1872,1.7179
254,8.467,robot_1,1.2139,0.8535
254,8.467,robot_2,0.1805,0.3297
256,8.533,robot_0,0.1872,1.7179
256,8.533,robot_1,1.2112,0.8549
256,8.533,robot_2,0.1805,0.3297
258,8.600,robot_0,0.1872,1.7179
258,8.600,robot_1,1.2081,0.8561
258,8.600,robot_2,0.1805,0.3297
260,8.667,robot_0,0.1872,1.7179
260,8.667,robot_1,1.2086,0.8549
260,8.667,robot_2,0.1805,0.3297
262,8.733,robot_0,0.1872,1.7179
262,8.733,robot_1,1.2025,0.8575
262,8.733,robot_2,0.1804,0.3316
264,8.800,robot_0,0.1872,1.7179
264,8.800,robot_1,1.2009,0.8586
264,8.800,robot_2,0.1804,0.3316
266,8.867,robot_0,0.1872,1.7179
266,8.867,robot_1,1.1995,0.8577
266,8.867,robot_2,0.1804,0.3316
268,8.933,robot_0,0.1872,1.7179
268,8.933,robot_1,1.1989,0.8558
268,8.933,robot_2,0.1804,0.3316
270,9.000,robot_0,0.1872,1.7179
270,9.000,robot_1,1.1962,0.8552
270,9.000,robot_2,0.1804,0.3316
272,9.067,robot_0,0.1872,1.7179
272,9.067,robot_1,1.1976,0.8505
272,9.067,robot_2,0.1804,0.3316
274,9.133,robot_0,0.1872,1.7179
274,9.133,robot_1,1.1948,0.8492
274,9.133,robot_2,0.1804,0.3316
276,9.200,robot_0,0.1872,1.7179
276,9.200,robot_1,1.1936,0.8459
276,9.200,robot_2,0.1804,0.3316
278,9.267,robot_0,0.1872,1.7179
278,9.267,robot_1,1.1929,0.8454
278,9.267,robot_2,0.1804,0.3316
280,9.333,robot_0,0.1872,1.7179
280,9.333,robot_1,1.1882,0.8437
280,9.333,robot_2,0.1804,0.3316
282,9.400,robot_0,0.1872,1.7179
282,9.400,robot_1,1.1896,0.8429
282,9.400,robot_2,0.1805,0.3297
284,9.467,robot_0,0.1872,1.7179
284,9.467,robot_1,1.1894,0.8441
284,9.467,robot_2,0.1805,0.3297
286,9.533,robot_0,0.1872,1.7179
286,9.533,robot_1,1.1868,0.8419
286,9.533,robot_2,0.1805,0.3297
288,9.600,robot_0,0.1872,1.7179
288,9.600,robot_1,1.1860,0.8410
288,9.600,robot_2,0.1805,0.3297
290,9.667,robot_0,0.1872,1.7179
290,9.667,robot_1,1.1828,0.8399
290,9.667,robot_2,0.1805,0.3297
292,9.733,robot_0,0.1872,1.7179
292,9.733,robot_1,1.1806,0.8361
292,9.733,robot_2,0.1805,0.3297
294,9.800,robot_0,0.1872,1.7179
294,9.800,robot_1,1.1813,0.8355
294,9.800,robot_2,0.1805,0.3297
296,9.867,robot_0,0.1872,1.7179
296,9.867,robot_1,1.1836,0.8346
296,9.867,robot_2,0.1805,0.3297
298,9.933,robot_0,0.1872,1.7179
298,9.933,robot_1,1.1787,0.8323
298,9.933,robot_2,0.1805,0.3297
300,10.000,robot_0,0.1872,1.7179
300,10.000,robot_1,1.1772,0.8290
300,10.000,robot_2,0.1805,0.3297
302,10.067,robot_0,0.1872,1.7179
302,10.067,robot_1,1.1784,0.8293
302,10.067,robot_2,0.1805,0.3297
304,10.133,robot_0,0.1872,1.7179
304,10.133,robot_1,1.1789,0.8278
304,10.133,robot_2,0.1805,0.3297
306,10.200,robot_0,0.1872,1.7179
306,10.200,robot_1,1.1772,0.8252
306,10.200,robot_2,0.1805,0.3297
308,10.267,robot_0,0.1872,1.7179
308,10.267,robot_1,1.1744,0.8251
308,10.267,robot_2,0.1805,0.3297
310,10.333,robot_0,0.1872,1.7179
310,10.333,robot_1,1.1743,0.8204
310,10.333,robot_2,0.1805,0.3297
312,10.400,robot_0,0.1872,1.7179
312,10.400,robot_1,1.1748,0.8185
312,10.400,robot_2,0.1805,0.3297
314,10.467,robot_0,0.1872,1.7179
314,10.467,robot_1,1.1695,0.8115
314,10.467,robot_2,0.1805,0.3297
316,10.533,robot_0,0.1872,1.7179
316,10.533,robot_1,1.1711,0.8105
316,10.533,robot_2,0.1805,0.3297
318,10.600,robot_0,0.1872,1.7179
318,10.600,robot_1,1.1726,0.8070
318,10.600,robot_2,0.1805,0.3297
