group,prompt,run,layout,trial,yaml_path,prompt_path,results_parent,run_output_dir,status
short,prompt_2,run_1,spread,1,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/vague/prompt_2/run_1/explore_sup_gpt_vague_2_run_1_272.yaml,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/vague/prompt_2/run_1/prompt.txt,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/short/prompt_2/run_1/spread/trial_1,,failed
short,prompt_2,run_1,spread,1,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/vague/prompt_2/run_1/explore_sup_gpt_vague_2_run_1_272.yaml,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/vague/prompt_2/run_1/prompt.txt,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/short/prompt_2/run_1/spread/trial_1,,failed
long,prompt_3,run_1,spread,1,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/long/prompt_3/run_1/explore_sup_gpt_long_3_run_1_264.yaml,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/long/prompt_3/run_1/prompt.txt,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/long/prompt_3/run_1/spread/trial_1,,failed
long,prompt_3,run_1,spread,1,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/long/prompt_3/run_1/explore_sup_gpt_long_3_run_1_264.yaml,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/long/prompt_3/run_1/prompt.txt,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/long/prompt_3/run_1/spread/trial_1,,failed
medium,prompt_3,run_1,spread,1,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/medium/prompt_3/run_1/explore_sup_gpt_medium_3_run_1_269.yaml,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/medium/prompt_3/run_1/prompt.txt,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/medium/prompt_3/run_1/spread/trial_1,,failed
medium,prompt_3,run_1,spread,1,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/medium/prompt_3/run_1/explore_sup_gpt_medium_3_run_1_269.yaml,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/medium/prompt_3/run_1/prompt.txt,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/medium/prompt_3/run_1/spread/trial_1,,failed
short,prompt_3,run_1,spread,1,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/vague/prompt_3/run_1/explore_sup_gpt_vague_3_run_1_273.yaml,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/vague/prompt_3/run_1/prompt.txt,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/short/prompt_3/run_1/spread/trial_1,,failed
short,prompt_3,run_1,spread,1,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/vague/prompt_3/run_1/explore_sup_gpt_vague_3_run_1_273.yaml,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/vague/prompt_3/run_1/prompt.txt,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/short/prompt_3/run_1/spread/trial_1,,failed
long,prompt_4,run_1,spread,1,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/long/prompt_4/run_1/explore_sup_gpt_long_4_run_1_265.yaml,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/long/prompt_4/run_1/prompt.txt,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/long/prompt_4/run_1/spread/trial_1,,failed
long,prompt_4,run_1,spread,1,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/long/prompt_4/run_1/explore_sup_gpt_long_4_run_1_265.yaml,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/long/prompt_4/run_1/prompt.txt,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/long/prompt_4/run_1/spread/trial_1,,failed
short,prompt_4,run_1,spread,1,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/vague/prompt_4/run_1/explore_sup_gpt_vague_4_run_1_274.yaml,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/vague/prompt_4/run_1/prompt.txt,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/short/prompt_4/run_1/spread/trial_1,,failed
short,prompt_4,run_1,spread,1,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/vague/prompt_4/run_1/explore_sup_gpt_vague_4_run_1_274.yaml,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/vague/prompt_4/run_1/prompt.txt,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/short/prompt_4/run_1/spread/trial_1,,failed
long,prompt_5,run_1,spread,1,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/long/prompt_5/run_1/explore_sup_gpt_long_5_run_1_266.yaml,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/long/prompt_5/run_1/prompt.txt,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/long/prompt_5/run_1/spread/trial_1,,failed
long,prompt_5,run_1,spread,1,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/long/prompt_5/run_1/explore_sup_gpt_long_5_run_1_266.yaml,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/long/prompt_5/run_1/prompt.txt,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/long/prompt_5/run_1/spread/trial_1,,failed
medium,prompt_5,run_1,spread,1,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/medium/prompt_5/run_1/explore_sup_gpt_medium_5_run_1_270.yaml,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/medium/prompt_5/run_1/prompt.txt,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/medium/prompt_5/run_1/spread/trial_1,,failed
medium,prompt_5,run_1,spread,1,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/medium/prompt_5/run_1/explore_sup_gpt_medium_5_run_1_270.yaml,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/medium/prompt_5/run_1/prompt.txt,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/medium/prompt_5/run_1/spread/trial_1,,failed
short,prompt_5,run_1,spread,1,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/vague/prompt_5/run_1/explore_sup_gpt_vague_5_run_1_275.yaml,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/vague/prompt_5/run_1/prompt.txt,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/short/prompt_5/run_1/spread/trial_1,,failed
short,prompt_5,run_1,spread,1,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/vague/prompt_5/run_1/explore_sup_gpt_vague_5_run_1_275.yaml,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/vague/prompt_5/run_1/prompt.txt,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/short/prompt_5/run_1/spread/trial_1,,failed
long,prompt_1,run_1,spread,1,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/long/prompt_1/run_1/explore_sup_gpt_long_1_run_1_262.yaml,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/long/prompt_1/run_1/prompt.txt,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/long/prompt_1/run_1/spread/trial_1,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/long/prompt_1/run_1/spread/trial_1/run_20260427_140354,ok
medium,prompt_1,run_1,spread,1,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/medium/prompt_1/run_1/explore_sup_gpt_medium_1_run_1_267.yaml,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/medium/prompt_1/run_1/prompt.txt,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/medium/prompt_1/run_1/spread/trial_1,/home/ecem/ros2_ws/src/Leo_sct/results_backward/explore/medium/prompt_1/run_1/spread/trial_1/run_20260427_141219,ok
