stamp_sec,stamp_nsec,label,total_index,robot_index,obstacle_index,bump_type,key,entity_a,entity_b,avg_contact_x,avg_contact_y,avg_contact_z,source_topic,entity_a_bump_direction,entity_b_bump_direction,pair_detection_summary
58,390000000,global,11,10,1,robot,"('robot_1', 'robot_3')",robot_1,robot_3,-3.708379,-0.033792,0.147568,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,right,right,both_detecting|both_warned
79,400000000,global,12,11,1,robot,"('robot_0', 'robot_4')",robot_0,robot_4,3.046194,-2.592640,0.147611,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact,front,left,both_detecting|both_warned
82,230000000,global,13,12,1,robot,"('robot_0', 'robot_4')",robot_0,robot_4,3.201449,-2.603650,0.147667,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact,front,left,both_detecting|both_warned
100,240000000,global,14,12,2,obstacle,"('robot_1', 'box1::link::collision')",robot_1,box1::link::collision,-2.561498,1.714382,0.147963,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,front,,robot_obstacle_not_detecting
101,450000000,global,15,12,3,obstacle,"('robot_1', 'box1::link::collision')",robot_1,box1::link::collision,-2.561498,1.714382,0.147701,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,front,,robot_obstacle_not_detecting
105,420000000,global,16,13,3,robot,"('robot_3', 'robot_4')",robot_3,robot_4,-0.126801,-0.029240,0.148015,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact,left,right,both_detecting|both_warned
107,310000000,global,17,14,3,robot,"('robot_3', 'robot_4')",robot_3,robot_4,0.066766,-0.057107,0.148002,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact,left,back,both_detecting|both_warned
112,270000000,global,18,15,3,robot,"('robot_3', 'robot_4')",robot_3,robot_4,-0.258425,0.445218,0.147876,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact,left,right,both_detecting|both_warned
114,450000000,global,19,16,3,robot,"('robot_3', 'robot_4')",robot_3,robot_4,-0.376155,0.343672,0.147738,/world/random_world/model/robot_3/link/robot_3/base_footprint/sensor/contact_sensor/contact,left,back,both_detecting|both_warned
115,500000000,global,20,16,4,obstacle,"('robot_1', 'box1::link::collision')",robot_1,box1::link::collision,-1.935212,1.617979,0.148076,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,front,,robot_obstacle_not_detecting
121,410000000,global,21,17,4,robot,"('robot_1', 'robot_3')",robot_1,robot_3,-1.500020,0.798633,0.147803,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,left,back,both_detecting|both_warned
174,130000000,global,22,18,4,robot,"('robot_0', 'robot_1')",robot_0,robot_1,-3.143191,-2.781711,0.147858,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact,back,left,both_detecting|both_warned
178,140000000,global,23,19,4,robot,"('robot_0', 'robot_1')",robot_0,robot_1,-2.773931,-2.950904,0.148010,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact,left,left,both_detecting|both_warned
182,300000000,global,24,20,4,robot,"('robot_0', 'robot_1')",robot_0,robot_1,-3.066419,-2.682876,0.147996,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact,right,back,both_detecting|both_warned
182,670000000,global,25,21,4,robot,"('robot_1', 'robot_4')",robot_1,robot_4,-3.473190,-2.196896,0.147486,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,back,back,both_detecting|both_warned
185,840000000,global,26,22,4,robot,"('robot_1', 'robot_4')",robot_1,robot_4,-3.294307,-2.062666,0.148000,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,right,back,both_detecting|both_warned
187,840000000,global,27,23,4,robot,"('robot_1', 'robot_4')",robot_1,robot_4,-3.300717,-2.009870,0.148057,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,front,back,both_detecting|both_warned
197,190000000,global,28,24,4,robot,"('robot_1', 'robot_4')",robot_1,robot_4,-4.033455,-2.255051,0.272569,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,right,right,both_detecting|both_warned
200,190000000,global,29,25,4,robot,"('robot_1', 'robot_4')",robot_1,robot_4,-3.880225,-2.232053,0.148058,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,front,back,both_detecting|both_warned
204,620000000,global,30,26,4,robot,"('robot_1', 'robot_4')",robot_1,robot_4,-4.319207,-2.235482,0.148247,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,right,back,both_detecting|both_warned
208,870000000,global,31,27,4,robot,"('robot_1', 'robot_4')",robot_1,robot_4,-3.979940,-2.183253,0.147889,/world/random_world/model/robot_1/link/robot_1/base_footprint/sensor/contact_sensor/contact,front,back,both_detecting|both_warned
288,730000000,global,32,28,4,robot,"('robot_0', 'robot_2')",robot_0,robot_2,-0.697738,-1.129871,0.147562,/world/random_world/model/robot_0/link/robot_0/base_footprint/sensor/contact_sensor/contact,back,back,both_detecting|both_warned
