wall_time,source,target,decision,skip_reason,source_zone,source_zone_active,source_zone_age_s,target_zone,target_zone_active,target_zone_age_s,distance_m,warning_distance_m,source_pose_fresh,target_pose_fresh,source_pose_age_s,target_pose_age_s,warning_zone,bearing_deg,zone_reason
1783521777.336219,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.264915,CLEAR,false,0.254764,0.005276,1.000000,true,true,0.047159,0.046577,CORNER,78.120265,critical_distance
1783521777.336219,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.264915,LEFT,true,0.279340,0.021997,1.000000,true,true,0.047159,0.046346,CORNER,87.414660,critical_distance
1783521777.436256,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.364953,CLEAR,false,0.354801,0.005276,1.000000,true,true,0.048081,0.047707,CORNER,83.849843,critical_distance
1783521777.436256,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.364953,LEFT,true,0.379378,0.021997,1.000000,true,true,0.048081,0.047551,CORNER,93.144238,critical_distance
1783521777.536234,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.464930,CLEAR,false,0.454779,0.005276,1.000000,true,true,0.047215,0.048010,CORNER,89.579421,critical_distance
1783521777.536234,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.464930,LEFT,true,0.479355,0.021997,1.000000,true,true,0.047215,0.047488,CORNER,98.873816,critical_distance
1783521777.636262,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.071450,CLEAR,false,0.062425,0.005276,1.000000,true,true,0.046984,0.046826,CORNER,95.205866,critical_distance
1783521777.636262,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.071450,CLEAR,false,0.082923,0.021997,1.000000,true,true,0.046984,0.047482,CORNER,103.984600,critical_distance
1783521777.736418,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.171607,CLEAR,false,0.162581,0.005276,1.000000,true,true,0.047313,0.047170,CORNER,99.474401,critical_distance
1783521777.736418,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.171607,CLEAR,false,0.183080,0.021997,1.000000,true,true,0.047313,0.047929,CORNER,107.393699,critical_distance
1783521777.836370,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.271559,CLEAR,false,0.262533,0.005337,1.000000,true,true,0.048064,0.047516,CORNER,104.642726,critical_distance
1783521777.836370,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.271559,CLEAR,false,0.283032,0.022095,1.000000,true,true,0.048064,0.047355,CORNER,109.681522,critical_distance
1783521777.936260,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.371448,CLEAR,false,0.362422,0.015544,1.000000,true,true,0.047764,0.048084,CORNER,160.743413,critical_distance
1783521777.936260,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.371448,CLEAR,false,0.382921,0.025416,1.000000,true,true,0.047764,0.047644,CORNER,121.382177,critical_distance
1783521778.036326,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.471514,CLEAR,false,0.462489,0.017916,1.000000,true,true,0.047188,0.047825,CORNER,163.453662,critical_distance
1783521778.036326,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.471514,CLEAR,false,0.482988,0.026470,1.000000,true,true,0.047188,0.047011,CORNER,119.903547,critical_distance
1783521778.136347,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.061323,CLEAR,false,0.050215,0.017909,1.000000,true,true,0.047107,0.047665,CORNER,163.527253,critical_distance
1783521778.136347,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.061323,CLEAR,false,0.082292,0.027540,1.000000,true,true,0.047107,0.046937,CORNER,118.538967,critical_distance
1783521778.236266,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.161242,CLEAR,false,0.150134,0.017662,1.000000,true,true,0.046755,0.046320,CORNER,163.371821,critical_distance
1783521778.236266,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.161242,CLEAR,false,0.182211,0.028497,1.000000,true,true,0.046755,0.046167,CORNER,116.845868,critical_distance
1783521778.336253,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.261229,CLEAR,false,0.250121,0.006236,1.000000,true,true,0.047837,0.047432,CORNER,125.994575,critical_distance
1783521778.336253,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.261229,CLEAR,false,0.282198,0.026717,1.000000,true,true,0.047837,0.047307,CORNER,104.813920,critical_distance
1783521778.436424,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.361400,CLEAR,false,0.350292,0.005183,1.000000,true,true,0.046421,0.047044,CORNER,101.526001,critical_distance
1783521778.436424,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.361400,CLEAR,false,0.382369,0.026717,1.000000,true,true,0.046421,0.046249,CORNER,102.493441,critical_distance
1783521778.536304,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.461281,CLEAR,false,0.450173,0.005183,1.000000,true,true,0.046995,0.046465,CORNER,98.346085,critical_distance
1783521778.536304,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.461281,CLEAR,false,0.482250,0.026717,1.000000,true,true,0.046995,0.046293,CORNER,98.454088,critical_distance
1783521778.636287,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.069685,CLEAR,false,0.061048,0.005183,1.000000,true,true,0.047631,0.047345,CORNER,93.447296,critical_distance
1783521778.636287,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.069685,CLEAR,false,0.083114,0.026717,1.000000,true,true,0.047631,0.047245,CORNER,92.925046,critical_distance
1783521778.736292,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.169690,CLEAR,false,0.161053,0.005183,1.000000,true,true,0.047541,0.046982,CORNER,87.717718,critical_distance
1783521778.736292,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.169690,CLEAR,false,0.183119,0.026717,1.000000,true,true,0.047541,0.046789,CORNER,87.195468,critical_distance
1783521778.836269,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.269667,CLEAR,false,0.261030,0.005183,1.000000,true,true,0.047258,0.046663,CORNER,81.988140,critical_distance
1783521778.836269,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.269667,CLEAR,false,0.283096,0.026717,1.000000,true,true,0.047258,0.046478,CORNER,81.465890,critical_distance
1783521778.936282,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.369680,CLEAR,false,0.361042,0.005183,1.000000,true,true,0.047686,0.047408,CORNER,76.258562,critical_distance
1783521778.936282,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.369680,CLEAR,false,0.383108,0.026717,1.000000,true,true,0.047686,0.046894,CORNER,75.736312,critical_distance
1783521779.036288,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.469686,CLEAR,false,0.461048,0.005183,1.000000,true,true,0.047413,0.047191,CORNER,70.528985,critical_distance
1783521779.036288,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.469686,CLEAR,false,0.483114,0.026717,1.000000,true,true,0.047413,0.046704,CORNER,70.006734,critical_distance
1783521779.136271,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.068118,CLEAR,false,0.056275,0.005183,1.000000,true,true,0.047382,0.047291,CORNER,64.799407,critical_distance
1783521779.136271,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.068118,CLEAR,false,0.083235,0.026717,1.000000,true,true,0.047382,0.047671,CORNER,64.277156,critical_distance
1783521779.236248,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.168095,CLEAR,false,0.156252,0.005183,1.000000,true,true,0.046920,0.046757,CORNER,59.069829,critical_distance
1783521779.236248,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.168095,CLEAR,false,0.183213,0.026717,1.000000,true,true,0.046920,0.047511,CORNER,58.547578,critical_distance
1783521779.336316,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.268163,CLEAR,false,0.256320,0.005183,1.000000,true,true,0.047430,0.046655,CORNER,53.340251,critical_distance
1783521779.336316,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.268163,CLEAR,false,0.283280,0.026717,1.000000,true,true,0.047430,0.046416,CORNER,52.818000,critical_distance
1783521779.436261,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.368108,CLEAR,false,0.356265,0.005183,1.000000,true,true,0.047303,0.047563,CORNER,47.610673,critical_distance
1783521779.436261,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.368108,CLEAR,false,0.383225,0.026717,1.000000,true,true,0.047303,0.047894,CORNER,47.088422,critical_distance
1783521779.536281,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.468128,CLEAR,false,0.456285,0.005183,1.000000,true,true,0.047034,0.047658,CORNER,41.881095,critical_distance
1783521779.536281,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.468128,CLEAR,false,0.483245,0.026717,1.000000,true,true,0.047034,0.046883,CORNER,41.358844,critical_distance
1783521779.636252,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.028682,CLEAR,false,0.018180,0.005183,1.000000,true,true,0.046845,0.046752,CORNER,36.151517,critical_distance
1783521779.636252,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.028682,LEFT,true,0.070296,0.026717,1.000000,true,true,0.046845,0.047194,CORNER,35.629267,critical_distance
1783521779.736274,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.128705,CLEAR,false,0.118202,0.005183,1.000000,true,true,0.046732,0.046565,CORNER,30.421939,critical_distance
1783521779.736274,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.128705,LEFT,true,0.170318,0.026717,1.000000,true,true,0.046732,0.047342,CORNER,30.518483,critical_distance
1783521779.836344,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.228775,CLEAR,false,0.218272,0.005183,1.000000,true,true,0.046927,0.046747,CORNER,24.692361,critical_distance
1783521779.836344,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.228775,LEFT,true,0.270388,0.026717,1.000000,true,true,0.046927,0.047566,CORNER,27.109384,critical_distance
1783521779.936271,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.328701,CLEAR,false,0.318198,0.005183,1.000000,true,true,0.046973,0.046787,CORNER,18.962783,critical_distance
1783521779.936271,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.328701,LEFT,true,0.370315,0.026717,1.000000,true,true,0.046973,0.047481,CORNER,25.419159,critical_distance
1783521780.036302,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.428732,CLEAR,false,0.418229,0.005183,1.000000,true,true,0.046814,0.047274,CORNER,13.233205,critical_distance
1783521780.036302,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.428732,LEFT,true,0.470346,0.026717,1.000000,true,true,0.046814,0.046666,CORNER,25.218623,critical_distance
1783521780.136353,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.066485,CLEAR,false,0.045673,0.005183,1.000000,true,true,0.047537,0.046804,CORNER,7.503628,critical_distance
1783521780.136353,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.066485,CORNER,true,0.080905,0.026717,1.000000,true,true,0.047537,0.046592,CORNER,25.218623,critical_distance
1783521780.236275,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.166407,CLEAR,false,0.145595,0.005183,1.000000,true,true,0.046879,0.047410,CORNER,1.774050,critical_distance
1783521780.236275,robot_0,robot_2,skipped,source_zone_inactive,CLEAR,false,0.166407,CORNER,true,0.180827,0.026717,1.000000,true,true,0.046879,0.046659,CORNER,24.599829,critical_distance
1783521780.336346,robot_0,robot_1,skipped,source_zone_inactive,CLEAR,false,0.266478,CLEAR,false,0.245665,0.005183,1.000000,true,true,0.047332,0.047117,CORNER,-3.955528,critical_distance
