model,prompt,run,layout,trial,sim_run,coverage_pct,collisions_total,pareto_optimal,pareto_optimal_merged,sim_dir,coverage_csv,bump_csv
gpt-5.4,prompt_2,run_1,.,trial_1,run_20260428_193358,68.0,130,True,True,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_2/run_1/trial_1/run_20260428_193358,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_2/run_1/trial_1/run_20260428_193358/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_2/run_1/trial_1/run_20260428_193358/bumps_global_193358.csv
gpt-5.4,prompt_2,run_2,.,trial_1,run_20260428_213833,56.0,35,False,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_2/run_2/trial_1/run_20260428_213833,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_2/run_2/trial_1/run_20260428_213833/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_2/run_2/trial_1/run_20260428_213833/bumps_global_213834.csv
gpt-5.4,prompt_2,run_3,.,trial_1,run_20260428_214337,57.0,53,False,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_2/run_3/trial_1/run_20260428_214337,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_2/run_3/trial_1/run_20260428_214337/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_2/run_3/trial_1/run_20260428_214337/bumps_global_214337.csv
gpt-5.4,prompt_2,run_4,.,trial_1,run_20260428_234831,59.0,85,False,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_2/run_4/trial_1/run_20260428_234831,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_2/run_4/trial_1/run_20260428_234831/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_2/run_4/trial_1/run_20260428_234831/bumps_global_234832.csv
gpt-5.4,prompt_2,run_5,.,trial_1,run_20260428_235335,53.0,26,False,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_2/run_5/trial_1/run_20260428_235335,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_2/run_5/trial_1/run_20260428_235335/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_2/run_5/trial_1/run_20260428_235335/bumps_global_235335.csv
gpt-5.4,prompt_3,run_1,.,trial_1,run_20260428_193902,61.0,49,True,True,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_1/run_20260428_193902,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_1/run_20260428_193902/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_1/run_20260428_193902/bumps_global_193902.csv
gpt-5.4,prompt_3,run_2,.,trial_1,run_20260428_214840,57.0,60,False,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_2/trial_1/run_20260428_214840,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_2/trial_1/run_20260428_214840/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_2/trial_1/run_20260428_214840/bumps_global_214841.csv
gpt-5.4,prompt_3,run_3,.,trial_1,run_20260428_215344,57.0,48,False,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_3/trial_1/run_20260428_215344,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_3/trial_1/run_20260428_215344/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_3/trial_1/run_20260428_215344/bumps_global_215344.csv
gpt-5.4,prompt_3,run_4,.,trial_1,run_20260428_235838,26.0,12,False,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_4/trial_1/run_20260428_235838,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_4/trial_1/run_20260428_235838/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_4/trial_1/run_20260428_235838/bumps_global_235839.csv
gpt-5.4,prompt_3,run_5,.,trial_1,run_20260429_000342,46.0,28,False,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_5/trial_1/run_20260429_000342,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_5/trial_1/run_20260429_000342/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_5/trial_1/run_20260429_000342/bumps_global_000343.csv
gpt-5.4,prompt_4,run_1,.,trial_1,run_20260428_194405,35.0,21,False,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_4/run_1/trial_1/run_20260428_194405,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_4/run_1/trial_1/run_20260428_194405/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_4/run_1/trial_1/run_20260428_194405/bumps_global_194406.csv
gpt-5.4,prompt_4,run_2,.,trial_1,run_20260428_215847,27.0,18,False,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_4/run_2/trial_1/run_20260428_215847,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_4/run_2/trial_1/run_20260428_215847/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_4/run_2/trial_1/run_20260428_215847/bumps_global_215848.csv
gpt-5.4,prompt_4,run_3,.,trial_1,run_20260428_220351,64.0,61,True,True,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_4/run_3/trial_1/run_20260428_220351,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_4/run_3/trial_1/run_20260428_220351/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_4/run_3/trial_1/run_20260428_220351/bumps_global_220352.csv
gpt-5.4,prompt_4,run_4,.,trial_1,run_20260429_000846,64.0,65,False,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_4/run_4/trial_1/run_20260429_000846,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_4/run_4/trial_1/run_20260429_000846/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_4/run_4/trial_1/run_20260429_000846/bumps_global_000846.csv
gpt-5.4,prompt_4,run_5,.,trial_1,run_20260429_001349,54.0,44,False,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_4/run_5/trial_1/run_20260429_001349,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_4/run_5/trial_1/run_20260429_001349/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_4/run_5/trial_1/run_20260429_001349/bumps_global_001350.csv
