wall_time,robot,reasons,raw_zone,effective_zone,peer_warning_zone,peer_warning_age_s,front_distance_m,distance_age_s,cbf_safety_distance_m,cbf_alpha,requested_linear_x,requested_angular_z,filtered_linear_x,filtered_angular_z
1783687795.162472,robot_0,stale_distance_stop,RIGHT,RIGHT,CLEAR,27.705072,0.944172,0.454965,0.600000,1.200000,0.160000,0.250000,0.000000,0.250000
1783687795.662455,robot_0,stale_distance_stop,RIGHT,RIGHT,CLEAR,28.205057,0.909537,0.418215,0.600000,1.200000,0.160000,0.250000,0.000000,0.250000
1783687796.162511,robot_0,stale_distance_stop,LEFT,LEFT,CLEAR,28.705110,0.905550,0.434669,0.600000,1.200000,0.160000,-0.250000,0.000000,-0.250000
1783687796.262472,robot_0,zone_stop_forward,CORNER,CORNER,CLEAR,28.805056,0.863232,0.073946,0.600000,1.200000,0.160000,-0.250000,0.000000,-0.250000
1783687799.762684,robot_0,distance_cbf_cap,CLEAR,CLEAR,CLEAR,32.305226,0.761037,0.088977,0.600000,1.200000,0.280000,0.000000,0.193245,0.000000
1783687799.862466,robot_0,distance_cbf_cap,CLEAR,CLEAR,CLEAR,32.405070,0.761037,0.188827,0.600000,1.200000,0.280000,0.000000,0.193245,0.000000
1783687799.962495,robot_0,distance_cbf_cap,CLEAR,CLEAR,CLEAR,32.505112,0.761037,0.288872,0.600000,1.200000,0.280000,0.000000,0.193245,0.000000
1783687800.062475,robot_0,distance_cbf_cap,CLEAR,CLEAR,CLEAR,32.605085,0.761037,0.388842,0.600000,1.200000,0.280000,0.000000,0.193245,0.000000
1783687800.262454,robot_0,zone_stop_forward,CORNER,CORNER,CLEAR,32.805061,0.647150,0.038070,0.600000,1.200000,0.280000,0.000000,0.000000,0.000000
1783687803.662463,robot_0,stale_distance_stop,LEFT,LEFT,CLEAR,36.205060,0.917552,0.447518,0.600000,1.200000,0.160000,-0.250000,0.000000,-0.250000
1783687806.162498,robot_0,stale_distance_stop,RIGHT,RIGHT,CLEAR,38.705109,0.935794,0.485677,0.600000,1.200000,0.160000,0.250000,0.000000,0.250000
1783687806.662453,robot_0,stale_distance_stop,RIGHT,RIGHT,CLEAR,39.205060,0.904722,0.476835,0.600000,1.200000,0.160000,0.250000,0.000000,0.250000
1783687806.962559,robot_0,peer_warning_turn_away_left|peer_warning_pass_slow_side,CORNER,CORNER,LEFT,0.006260,0.852959,0.268178,0.600000,1.200000,-0.080000,0.650000,-0.080000,-0.650000
1783687807.062778,robot_0,peer_warning_turn_away_left|peer_warning_pass_slow_side,CORNER,CORNER,LEFT,0.005595,0.852959,0.368376,0.600000,1.200000,-0.080000,0.650000,-0.080000,-0.650000
1783687807.162699,robot_0,peer_warning_turn_away_left|peer_warning_pass_slow_side,CORNER,CORNER,LEFT,0.006381,0.852959,0.468265,0.600000,1.200000,-0.080000,0.650000,-0.080000,-0.650000
1783687807.262493,robot_0,peer_warning_turn_away_left|peer_warning_pass_slow_side,CORNER,CORNER,LEFT,0.005973,0.889005,0.071652,0.600000,1.200000,-0.080000,0.650000,-0.080000,-0.650000
1783687807.362813,robot_0,peer_warning_turn_away_left|peer_warning_pass_slow_side,CORNER,CORNER,LEFT,0.006427,0.889005,0.171918,0.600000,1.200000,-0.080000,0.650000,-0.080000,-0.650000
1783687807.462647,robot_0,peer_warning_turn_away_left|peer_warning_pass_slow_side,CORNER,CORNER,LEFT,0.006378,0.889005,0.271734,0.600000,1.200000,-0.080000,0.650000,-0.080000,-0.650000
1783687807.562371,robot_0,peer_warning_turn_away_left|peer_warning_pass_slow_side,CORNER,CORNER,LEFT,0.004397,0.889005,0.371563,0.600000,1.200000,-0.080000,0.650000,-0.080000,-0.650000
1783687807.662602,robot_0,peer_warning_turn_away_left|peer_warning_pass_slow_side,CORNER,CORNER,LEFT,0.006229,0.889005,0.471749,0.600000,1.200000,-0.080000,0.650000,-0.080000,-0.650000
1783687807.762394,robot_0,peer_warning_turn_away_left|peer_warning_pass_slow_side,CORNER,CORNER,LEFT,0.006122,0.891660,0.077397,0.600000,1.200000,-0.080000,0.650000,-0.080000,-0.650000
1783687807.862510,robot_0,peer_warning_stop_backward,CORNER,CORNER,BACK,0.006266,0.891660,0.177488,0.600000,1.200000,-0.080000,0.650000,0.000000,0.650000
1783687807.962344,robot_0,peer_warning_stop_backward,CORNER,CORNER,BACK,0.006070,0.891660,0.277349,0.600000,1.200000,-0.080000,0.650000,0.000000,0.650000
1783687808.062428,robot_0,peer_warning_stop_backward,CORNER,CORNER,BACK,0.005373,0.891660,0.377398,0.600000,1.200000,-0.080000,0.650000,0.000000,0.650000
1783687808.162708,robot_0,peer_warning_stop_backward,CORNER,CORNER,BACK,0.006434,0.891660,0.477587,0.600000,1.200000,-0.080000,0.650000,0.000000,0.650000
1783687808.262659,robot_0,peer_warning_stop_backward,RIGHT,RIGHT,BACK,0.006303,0.906675,0.035818,0.600000,1.200000,-0.080000,0.650000,0.000000,0.650000
1783687808.462405,robot_0,peer_warning_turn_away_left|peer_warning_pass_slow_side|turn_right_blocked,RIGHT,RIGHT,LEFT,0.006263,0.906675,0.235696,0.600000,1.200000,0.160000,0.250000,0.120000,0.000000
1783687808.562495,robot_0,peer_warning_turn_away_left|peer_warning_pass_slow_side|turn_right_blocked,RIGHT,RIGHT,LEFT,0.004131,0.906675,0.335749,0.600000,1.200000,0.160000,0.250000,0.120000,0.000000
1783687808.662722,robot_0,peer_warning_turn_away_left|peer_warning_pass_slow_side|turn_right_blocked|stale_distance_stop,RIGHT,RIGHT,LEFT,0.006544,0.906675,0.435861,0.600000,1.200000,0.160000,0.250000,0.000000,0.000000
1783687808.762499,robot_0,peer_warning_turn_away_left|peer_warning_pass_slow_side,CORNER,CORNER,LEFT,0.005857,0.885433,0.068001,0.600000,1.200000,0.160000,0.250000,0.120000,-0.650000
1783687808.862526,robot_0,peer_warning_turn_away_left|peer_warning_pass_slow_side,CORNER,CORNER,LEFT,0.005039,0.885433,0.167981,0.600000,1.200000,-0.080000,0.650000,-0.080000,-0.650000
1783687808.962666,robot_0,peer_warning_stop_backward,CORNER,CORNER,BACK,0.005633,0.885433,0.268041,0.600000,1.200000,-0.080000,0.650000,0.000000,0.650000
1783687809.062358,robot_0,peer_warning_stop_backward,CORNER,CORNER,BACK,0.006192,0.885433,0.367883,0.600000,1.200000,-0.080000,0.650000,0.000000,0.650000
1783687809.162461,robot_0,peer_warning_stop_backward,CORNER,CORNER,BACK,0.005956,0.885433,0.467960,0.600000,1.200000,-0.080000,0.650000,0.000000,0.650000
1783687809.262802,robot_0,peer_warning_stop_backward,CORNER,CORNER,BACK,0.006357,0.863627,0.051927,0.600000,1.200000,-0.080000,0.650000,0.000000,0.650000
1783687809.362792,robot_0,peer_warning_stop_backward,CORNER,CORNER,BACK,0.006463,0.863627,0.151936,0.600000,1.200000,-0.080000,0.650000,0.000000,0.650000
1783687809.462649,robot_0,peer_warning_turn_away_left|peer_warning_pass_slow_side,CORNER,CORNER,LEFT,0.006046,0.863627,0.251822,0.600000,1.200000,-0.080000,0.650000,-0.080000,-0.650000
1783687809.562486,robot_0,peer_warning_turn_away_left|peer_warning_pass_slow_side,CORNER,CORNER,LEFT,0.006274,0.863627,0.351727,0.600000,1.200000,-0.080000,0.650000,-0.080000,-0.650000
1783687809.662421,robot_0,peer_warning_turn_away_left|peer_warning_pass_slow_side,CORNER,CORNER,LEFT,0.003986,0.863627,0.451659,0.600000,1.200000,-0.080000,0.650000,-0.080000,-0.650000
